,genres,title,Movie_Average,Global_Average,Overall_Rating_Count
0,(no genres listed),Black Mirror,5.0,3.4863989231828714,5.0
1,(no genres listed),Generation Iron 2,3.5,3.4863989231828714,3.5
2,(no genres listed),Green Room (2015),3.333333333333333,3.4863989231828714,10.0
3,(no genres listed),Noin 7 veljestä (1968),3.0,3.4863989231828714,3.0
4,(no genres listed),Paterson,4.5,3.4863989231828714,4.5
5,(no genres listed),Pirates of the Caribbean: Dead Men Tell No Tales (2017),3.7857142857142856,3.4863989231828714,26.5
6,(no genres listed),The Adventures of Sherlock Holmes and Doctor Watson: The Hunt for the Tiger (1980),4.5,3.4863989231828714,4.5
7,Action,"10th Victim, The (La decima vittima) (1965)",4.0,3.4863989231828714,4.0
8,Action,28 Days Later (2002),4.0,3.4863989231828714,199.5
9,Action,3 Ninjas: High Noon On Mega Mountain (1998),4.0,3.4863989231828714,4.0
10,Action,52 Pick-Up (1986),5.0,3.4863989231828714,5.0
11,Action,"7th Voyage of Sinbad, The (1958)",4.25,3.4863989231828714,22.0
12,Action,Aelita: The Queen of Mars (Aelita) (1924),4.5,3.4863989231828714,4.5
13,Action,Alien Contamination (1980),5.0,3.4863989231828714,5.0
14,Action,All-Star Superman (2011),4.25,3.4863989231828714,8.5
15,Action,Alpha and Omega 3: The Great Wolf Games (2014),4.5,3.4863989231828714,4.5
16,Action,Apocalypse Now (1979),4.10625,3.4863989231828714,317.0
17,Action,Assembly (Ji jie hao) (2007) ,4.5,3.4863989231828714,4.5
18,Action,Band of Brothers (2001),4.333333333333333,3.4863989231828714,23.5
19,Action,Barely Lethal (2015),4.5,3.4863989231828714,4.5
20,Action,Battlestar Galactica: The Plan (2009),4.5,3.4863989231828714,4.5
21,Action,"Big Red One, The (1980)",4.0,3.4863989231828714,4.0
22,Action,"Boondock Saints, The (2000)",4.2073170731707314,3.4863989231828714,170.0
23,Action,"Boot, Das (Boat, The) (1981)",4.225,3.4863989231828714,145.5
24,Action,Brother (2000),4.0,3.4863989231828714,12.0
25,Action,Captain Horatio Hornblower R.N. (1951),4.0,3.4863989231828714,7.0
26,Action,City of God (Cidade de Deus) (2002),4.15,3.4863989231828714,285.0
27,Action,Crippled Avengers (Can que) (Return of the 5 Deadly Venoms) (1981),5.0,3.4863989231828714,5.0
28,Action,Dead Snow (Død snø) (2009),4.333333333333333,3.4863989231828714,13.0
29,Action,Dead or Alive: Hanzaisha (1999),4.25,3.4863989231828714,8.5
30,Action,Dragonslayer (1981),4.083333333333333,3.4863989231828714,24.5
31,Action,Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010),4.333333333333333,3.4863989231828714,26.0
32,Action,Fire Down Below (1997),4.0,3.4863989231828714,4.0
33,Action,"Fistful of Dollars, A (Per un pugno di dollari) (1964)",4.038461538461538,3.4863989231828714,139.5
34,Action,Flashback (1990),4.5,3.4863989231828714,4.5
35,Action,Galaxy of Terror (Quest) (1981),5.0,3.4863989231828714,5.0
36,Action,Game of Death (1978),4.166666666666667,3.4863989231828714,12.5
37,Action,Get Carter (2000),4.0,3.4863989231828714,4.0
38,Action,Hangar 18 (1980),4.5,3.4863989231828714,9.0
39,Action,Hard-Boiled (Lat sau san taam) (1992),4.2,3.4863989231828714,34.0
40,Action,"Harder They Come, The (1973)",4.166666666666667,3.4863989231828714,12.5
41,Action,Heartbreak Ridge (1986),4.0,3.4863989231828714,12.0
42,Action,Heat (1995),4.083333333333333,3.4863989231828714,382.0
43,Action,Jackass 3D (2010),4.1,3.4863989231828714,20.5
44,Action,John Wick: Chapter Two (2017),4.142857142857143,3.4863989231828714,29.0
45,Action,Knockin' on Heaven's Door (1997),4.166666666666667,3.4863989231828714,12.5
46,Action,Logan (2017),4.28,3.4863989231828714,107.0
47,Action,Love Exposure (Ai No Mukidashi) (2008),5.0,3.4863989231828714,5.0
48,Action,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.15934065934066,3.4863989231828714,503.5
49,Action,"Matrix, The (1999)",4.196428571428571,3.4863989231828714,1074.5
50,Action,Maximum Ride (2016),4.5,3.4863989231828714,4.5
51,Action,Maximum Risk (1996),4.5,3.4863989231828714,11.5
52,Action,Miracles - Mr. Canton and Lady Rose (1989),4.5,3.4863989231828714,4.5
53,Action,Ninja: Shadow of a Tear (2013),4.5,3.4863989231828714,4.5
54,Action,Nirvana (1997),4.5,3.4863989231828714,4.5
55,Action,"Omega Man, The (1971)",4.0,3.4863989231828714,22.0
56,Action,On the Other Side of the Tracks (De l'autre côté du périph) (2012),5.0,3.4863989231828714,5.0
57,Action,Once Upon a Time in the West (C'era una volta il West) (1968),4.2,3.4863989231828714,73.0
58,Action,"Outlaw Josey Wales, The (1976)",4.045454545454546,3.4863989231828714,44.5
59,Action,Rare Exports: A Christmas Tale (Rare Exports) (2010),4.25,3.4863989231828714,8.5
60,Action,Riki-Oh: The Story of Ricky (Lik Wong) (1991),4.5,3.4863989231828714,4.5
61,Action,"Road Warrior, The (Mad Max 2) (1981)",4.103448275862069,3.4863989231828714,155.0
62,Action,Sanjuro (Tsubaki Sanjûrô) (1962),4.25,3.4863989231828714,17.0
63,Action,Shaolin Temple (Shao Lin si) (1976),4.5,3.4863989231828714,4.5
64,Action,Supercop 2 (Project S) (Chao ji ji hua) (1993),5.0,3.4863989231828714,5.0
65,Action,Tekkonkinkreet (Tekkon kinkurîto) (2006),4.625,3.4863989231828714,18.5
66,Action,The Big Bus (1976),5.0,3.4863989231828714,5.0
67,Action,The Golden Voyage of Sinbad (1973),4.0,3.4863989231828714,8.0
68,Action,The Man from Nowhere (2010),4.5,3.4863989231828714,9.0
69,Action,The Pacific (2010),4.75,3.4863989231828714,9.5
70,Action,The Raid: Redemption (2011),4.3125,3.4863989231828714,34.5
71,Action,Tokyo Tribe (2014),5.0,3.4863989231828714,5.0
72,Action,Untitled Spider-Man Reboot (2017),4.15625,3.4863989231828714,66.5
73,Action,Why Don't You Play In Hell? (Jigoku de naze warui) (2013),4.25,3.4863989231828714,8.5
74,Action,Zulu (1964),4.0,3.4863989231828714,16.0
75,Adventure,12 Chairs (1971),4.5,3.4863989231828714,4.5
76,Adventure,12 Chairs (1976),5.0,3.4863989231828714,5.0
77,Adventure,Adventures of Mowgli: The Kidnapping (1968),4.5,3.4863989231828714,4.5
78,Adventure,Alpha (2018),4.5,3.4863989231828714,4.5
79,Adventure,Back to the Future (1985),4.02734375,3.4863989231828714,627.5
80,Adventure,Black Sea (2015),4.0,3.4863989231828714,4.0
81,Adventure,Captain Phillips (2013),4.025,3.4863989231828714,80.5
82,Adventure,Cloudburst (2011),4.0,3.4863989231828714,4.0
83,Adventure,Copenhagen (2014),4.5,3.4863989231828714,4.5
84,Adventure,Dark City (1998),3.9736842105263164,3.4863989231828714,167.5
85,Adventure,Doctor Dolittle (1967),4.0,3.4863989231828714,36.0
86,Adventure,"Doctor Who: The Doctor, the Widow and the Wardrobe (2011)",4.166666666666667,3.4863989231828714,12.5
87,Adventure,Dr. Phibes Rises Again (1972),4.5,3.4863989231828714,4.5
88,Adventure,Emerald Green (2016),4.0,3.4863989231828714,4.0
89,Adventure,Ernest & Célestine (Ernest et Célestine) (2012),4.5,3.4863989231828714,4.5
90,Adventure,Fear and Loathing in Las Vegas (1998),4.0131578947368425,3.4863989231828714,145.0
91,Adventure,Finding Nemo (2003),3.954887218045113,3.4863989231828714,513.0
92,Adventure,Firewalker (1986),5.0,3.4863989231828714,5.0
93,Adventure,"Gods Must Be Crazy, The (1980)",3.9375,3.4863989231828714,95.0
94,Adventure,Golden Door (Nuovomondo) (2006),4.5,3.4863989231828714,4.5
95,Adventure,"Grand Day Out with Wallace and Gromit, A (1989)",4.02,3.4863989231828714,110.0
96,Adventure,"History of Future Folk, The (2012)",4.0,3.4863989231828714,8.0
97,Adventure,Hunt for the Wilderpeople (2016),4.375,3.4863989231828714,17.5
98,Adventure,Ice Age: The Great Egg-Scapade (2016),5.0,3.4863989231828714,5.0
99,Adventure,Interstate 60 (2002),4.0,3.4863989231828714,4.0
100,Adventure,"Iron Giant, The (1999)",3.9807692307692313,3.4863989231828714,140.5
101,Adventure,Jack-Jack Attack (2005),4.5,3.4863989231828714,4.5
102,Adventure,Kiki's Delivery Service (Majo no takkyûbin) (1989),4.0588235294117645,3.4863989231828714,67.0
103,Adventure,Kirikou and the Sorceress (Kirikou et la sorcière) (1998),4.0,3.4863989231828714,8.0
104,Adventure,Labyrinth (1986),3.9193548387096775,3.4863989231828714,147.0
105,Adventure,Legend of the Guardians: The Owls of Ga'Hoole (2010),4.0,3.4863989231828714,4.0
106,Adventure,Light Years (Gandahar) (1988),5.0,3.4863989231828714,5.0
107,Adventure,"Lion King 1½, The (2004)",4.5,3.4863989231828714,9.0
108,Adventure,Little Miss Sunshine (2006),3.9178082191780814,3.4863989231828714,185.5
109,Adventure,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.117021276595745,3.4863989231828714,748.0
110,Adventure,"Lord of the Rings: The Two Towers, The (2002)",4.036723163841808,3.4863989231828714,690.5
111,Adventure,"Monster Squad, The (1987)",5.0,3.4863989231828714,5.0
112,Adventure,Mutiny on the Bounty (1935),4.2,3.4863989231828714,21.0
113,Adventure,My Father's Glory (La gloire de mon père) (1990),4.0,3.4863989231828714,4.0
114,Adventure,Never Cry Wolf (1983),4.1,3.4863989231828714,37.5
115,Adventure,On the Trail of the Bremen Town Musicians (1973),5.0,3.4863989231828714,5.0
116,Adventure,Palindromes (2004),5.0,3.4863989231828714,5.0
117,Adventure,Puss in Boots (Nagagutsu o haita neko) (1969),4.0,3.4863989231828714,4.0
118,Adventure,Sapphire Blue (2014),4.0,3.4863989231828714,4.0
119,Adventure,"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",4.0,3.4863989231828714,4.0
120,Adventure,Scooby-Doo! Curse of the Lake Monster (2010),5.0,3.4863989231828714,5.0
121,Adventure,Sweetgrass (2009),4.5,3.4863989231828714,4.5
122,Adventure,The Cave of the Golden Rose (1991),4.0,3.4863989231828714,4.0
123,Adventure,The Fox and the Hound 2 (2006),5.0,3.4863989231828714,5.0
124,Adventure,The Martian (2015),4.021739130434782,3.4863989231828714,182.5
125,Adventure,Vovka in the Kingdom of Far Far Away (1965),5.0,3.4863989231828714,5.0
126,Adventure,Walkabout (1971),4.5,3.4863989231828714,8.5
127,Adventure,Wizards of Waverly Place: The Movie (2009),4.0,3.4863989231828714,4.0
128,Animation,A Detective Story (2003),5.0,3.4863989231828714,5.0
129,Animation,A Plasticine Crow (1981),5.0,3.4863989231828714,5.0
130,Animation,Aladdin and the King of Thieves (1996),3.125,3.4863989231828714,34.0
131,Animation,All Dogs Go to Heaven (1989),3.4863989231828714,3.4863989231828714,3.0
132,Animation,"Aristocats, The (1970)",3.3392857142857144,3.4863989231828714,134.5
133,Animation,Bambi (1942),3.4863989231828714,3.4863989231828714,24.0
134,Animation,Batman: Mask of the Phantasm (1993),3.4863989231828714,3.4863989231828714,14.0
135,Animation,Beauty and the Beast (1991),3.684931506849315,3.4863989231828714,494.0
136,Animation,Big Top Scooby-Doo! (2012),5.0,3.4863989231828714,5.0
137,Animation,"Brave Little Toaster, The (1987)",3.5625,3.4863989231828714,26.0
138,Animation,Charlotte's Web (1973),3.4863989231828714,3.4863989231828714,17.0
139,Animation,Chicken Run (2000),3.5909090909090913,3.4863989231828714,236.0
140,Animation,"Christmas Carol, A (2009)",3.0,3.4863989231828714,3.5
141,Animation,Cinderella (1950),3.4863989231828714,3.4863989231828714,35.0
142,Animation,Cool World (1992),2.5,3.4863989231828714,6.0
143,Animation,Coraline (2009),3.6875,3.4863989231828714,111.0
144,Animation,Corpse Bride (2005),3.5365853658536586,3.4863989231828714,128.0
145,Animation,Creature Comforts (1989),4.25,3.4863989231828714,46.5
146,Animation,DC Super Hero Girls: Hero of the Year (2016),4.0,3.4863989231828714,4.0
147,Animation,Day & Night (2010),4.1,3.4863989231828714,18.0
148,Animation,Despicable Me (2010),3.6666666666666665,3.4863989231828714,122.0
149,Animation,Dragon ball Z 04: Lord Slug (1991),4.0,3.4863989231828714,4.0
150,Animation,Duck Amuck (1953),4.0,3.4863989231828714,4.0
151,Animation,Dumbo (1941),3.44,3.4863989231828714,75.5
152,Animation,"Emperor's New Groove 2: Kronk's New Groove, The (2005)",4.5,3.4863989231828714,4.5
153,Animation,FLCL (2000),4.375,3.4863989231828714,35.0
154,Animation,Family Guy Presents: Blue Harvest (2007),4.0,3.4863989231828714,4.0
155,Animation,"Family Guy Presents: Something, Something, Something, Dark Side (2009)",4.5,3.4863989231828714,4.5
156,Animation,Fantasia (1940),3.4863989231828714,3.4863989231828714,40.0
157,Animation,Fantasia 2000 (1999),3.4863989231828714,3.4863989231828714,7.0
158,Animation,"Fantastic Planet, The (Planète sauvage, La) (1973)",4.0,3.4863989231828714,9.5
159,Animation,Feast (2014),3.0,3.4863989231828714,3.0
160,Animation,Ferngully: The Last Rainforest (1992),3.1428571428571432,3.4863989231828714,18.0
161,Animation,For the Birds (2000),3.9,3.4863989231828714,19.5
162,Animation,"Fox and the Hound, The (1981)",3.678571428571429,3.4863989231828714,51.5
163,Animation,Frankenweenie (2012),2.5,3.4863989231828714,3.0
164,Animation,From Up on Poppy Hill (Kokuriko-zaka kara) (2011),4.5,3.4863989231828714,4.5
165,Animation,Garfield's Pet Force (2009),5.0,3.4863989231828714,5.0
166,Animation,Garfield: A Tail of Two Kitties (2006),2.25,3.4863989231828714,4.0
167,Animation,Ghost in the Shell (Kôkaku kidôtai) (1995),4.090909090909091,3.4863989231828714,100.5
168,Animation,"Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006)",4.055555555555555,3.4863989231828714,36.5
169,Animation,"Goofy Movie, A (1995)",3.4,3.4863989231828714,45.0
170,Animation,Happy Feet Two (2011),5.0,3.4863989231828714,5.0
171,Animation,Hare-um Scare-um (1939),4.0,3.4863989231828714,4.0
172,Animation,"Illusionist, The (L'illusionniste) (2010)",3.0,3.4863989231828714,7.0
173,Animation,"Incredible Mr. Limpet, The (1964)",3.0,3.4863989231828714,3.0
174,Animation,It's Such a Beautiful Day (2012),4.25,3.4863989231828714,8.5
175,Animation,"It's the Great Pumpkin, Charlie Brown (1966)",3.8,3.4863989231828714,19.0
176,Animation,Johnny Express (2014),4.5,3.4863989231828714,4.5
177,Animation,Kid's Story (2003),3.0,3.4863989231828714,3.0
178,Animation,Kizumonogatari II: Passionate Blood (2016),4.0,3.4863989231828714,4.0
179,Animation,Kizumonogatari III: Cold Blood (2017),4.5,3.4863989231828714,4.5
180,Animation,Kung Fu Panda: Secrets of the Masters (2011),5.0,3.4863989231828714,5.0
181,Animation,Lady and the Tramp (1955),3.4863989231828714,3.4863989231828714,52.0
182,Animation,"Last Unicorn, The (1982)",3.375,3.4863989231828714,9.0
183,Animation,Lesson Faust (1994),3.4863989231828714,3.4863989231828714,10.0
184,Animation,Lifted (2006),4.0,3.4863989231828714,4.0
185,Animation,"Little Mermaid, The (1989)",3.4863989231828714,3.4863989231828714,42.0
186,Animation,Loving Vincent (2017),5.0,3.4863989231828714,5.0
187,Animation,Luxo Jr. (1986),3.75,3.4863989231828714,7.5
188,Animation,"Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987)",4.25,3.4863989231828714,17.0
189,Animation,Merry Madagascar (2009),3.0,3.4863989231828714,3.0
190,Animation,Mike's New Car (2002),4.0,3.4863989231828714,4.0
191,Animation,Millennium Actress (Sennen joyû) (2001),3.8,3.4863989231828714,16.5
192,Animation,Monster House (2006),3.111111111111111,3.4863989231828714,25.0
193,Animation,Mr Hublot (2013),3.0,3.4863989231828714,3.0
194,Animation,Mutant Aliens (2001),4.0,3.4863989231828714,8.0
195,Animation,My Love (2006),5.0,3.4863989231828714,5.0
196,Animation,"Nightmare Before Christmas, The (1993)",3.6296296296296298,3.4863989231828714,188.0
197,Animation,No Game No Life: Zero (2017),3.5,3.4863989231828714,3.5
